Gene,Freq,wes,rna
COL11A2,0.1111111111111111,0,1
PALMD,0.1111111111111111,0,1
SPTBN5,0.0967741935483871,1,0
PLCB2,0.0967741935483871,1,0
ZFHX3,0.0967741935483871,1,0
CLDN5,0.0967741935483871,1,0
RAP1GDS1,0.0967741935483871,1,0
CANT1,0.0967741935483871,1,0
KLHL35,0.0967741935483871,1,0
RB1,0.0967741935483871,1,0
RASA3,0.0967741935483871,1,0
RTL10,0.0967741935483871,1,0
KNL1,0.0967741935483871,1,0
CAPN11,0.0967741935483871,1,0
LMNA,0.0967741935483871,1,0
SLC16A8,0.0967741935483871,1,0
FNDC1,0.0967741935483871,1,0
MECOM,0.0967741935483871,1,0
NEB,0.0967741935483871,1,0
CCT8L2,0.0967741935483871,1,0
TET2,0.0967741935483871,1,0
MYH13,0.0967741935483871,1,0
TBX1,0.0967741935483871,1,0
TGS1,0.0967741935483871,1,0
TGFBR2,0.0967741935483871,1,0
TFE3,0.0967741935483871,1,0
GNB1L,0.0967741935483871,1,0
AKAP12,0.0967741935483871,1,0
JAK2,0.0967741935483871,1,0
ZBBX,0.0967741935483871,1,0
GSR,0.0967741935483871,1,0
JCHAIN,0.0888888888888888,0,1
HNRNPA2B1,0.064516129032258,1,0
LRP1B,0.064516129032258,1,0
EML4,0.064516129032258,1,0
FAM214A,0.064516129032258,1,0
FBRS,0.064516129032258,1,0
FAT4,0.064516129032258,1,0
DNMT3A,0.064516129032258,1,0
HHAT,0.064516129032258,1,0
INTU,0.064516129032258,1,0
FOXF2,0.064516129032258,1,0
HOXD9,0.064516129032258,1,0
OR2V2,0.064516129032258,1,0
PRAME,0.064516129032258,1,0
BRCA2,0.064516129032258,1,0
CLEC4M,0.064516129032258,1,0
SCMH1,0.064516129032258,1,0
RYR1,0.064516129032258,1,0
RTN4R,0.064516129032258,1,0
RELN,0.064516129032258,1,0
RACK1,0.064516129032258,1,0
TRIM41,0.064516129032258,1,0
PREX2,0.064516129032258,1,0
ATP1A2,0.064516129032258,1,0
TRIM7,0.064516129032258,1,0
CCDC188,0.064516129032258,1,0
TTC6,0.064516129032258,1,0
SMARCC1,0.064516129032258,1,0
UBR5,0.064516129032258,1,0
ZNF280A,0.064516129032258,1,0
CELSR3,0.064516129032258,1,0
ZDHHC8,0.064516129032258,1,0
OR2V1,0.064516129032258,1,0
ADAMTSL1,0.064516129032258,1,0
PBRM1,0.064516129032258,1,0
PDGFRA,0.064516129032258,1,0
PCCB,0.064516129032258,1,0
GLIS3,0.064516129032258,1,0
VHL,0.064516129032258,1,0
CREBBP,0.064516129032258,1,0
GHRL,0.064516129032258,1,0
MTOR,0.064516129032258,1,0
IDH2,0.064516129032258,1,0
KRTAP10-6,0.064516129032258,1,0
MET,0.064516129032258,1,0
GBP1,0.0444444444444444,0,1
KDR,0.032258064516129,1,0
ATIC,0.032258064516129,1,0
ATRX,0.032258064516129,1,0
EPAS1,0.032258064516129,1,0
EPS15,0.032258064516129,1,0
ASPSCR1,0.032258064516129,1,0
STAG2,0.032258064516129,1,0
ARID1A,0.032258064516129,1,0
MUC5B,0.032258064516129,1,0
SLC39A7,0.032258064516129,1,0
AFF1,0.032258064516129,1,0
RYR2,0.032258064516129,1,0
JAK3,0.032258064516129,1,0
TNFAIP3,0.032258064516129,1,0
BTNL9,0.032258064516129,1,0
AXIN1,0.032258064516129,1,0
SELE,0.032258064516129,1,0
BRD4,0.032258064516129,1,0
COL2A1,0.032258064516129,1,0
SF3B1,0.032258064516129,1,0
ERBB3,0.032258064516129,1,0
KEAP1,0.032258064516129,1,0
FIP1L1,0.032258064516129,1,0
CARD11,0.032258064516129,1,0
FGFR3,0.032258064516129,1,0
FBXW7,0.032258064516129,1,0
RUNX1T1,0.032258064516129,1,0
FAS,0.032258064516129,1,0
RP1L1,0.032258064516129,1,0
CYSLTR2,0.032258064516129,1,0
NCF4,0.032258064516129,1,0
